Date,Open,High,Low,Close,Volume,Adj Close
2010-03-02,128.699997,129.089996,127.129997,127.419998,6013300,107.653573
2010-03-01,127.50,128.830002,127.470001,128.570007,4577700,108.625184
2010-02-26,127.010002,128.00,126.739998,127.160004,4784200,107.433911
2010-02-25,126.050003,127.239998,125.57,127.07,5658700,107.357869
2010-02-24,127.019997,128.270004,126.809998,127.589996,4782000,107.7972
2010-02-23,126.480003,127.660004,126.00,126.459999,4591900,106.842497
2010-02-22,127.300003,127.43,126.309998,126.849998,3808100,107.171997
2010-02-19,127.349998,128.059998,126.870003,127.190002,6303100,107.459256
2010-02-18,126.129997,128.00,126.00,127.809998,5525900,107.983073
2010-02-17,125.50,126.529999,125.209999,126.330002,5827400,106.732666
2010-02-16,124.910004,125.230003,124.110001,125.230003,6777300,105.803308
2010-02-12,123.010002,124.050003,121.610001,124.00,8017700,104.764113
2010-02-11,122.580002,124.199997,122.059998,123.730003,5089000,104.536
2010-02-10,122.940002,123.650002,122.209999,122.809998,5219100,103.758713
2010-02-09,122.650002,124.199997,122.459999,123.209999,6044500,104.096663
2010-02-08,123.150002,123.220001,121.739998,121.879997,5718500,102.972982
2010-02-05,123.040001,123.720001,121.830002,123.519997,8617000,103.893889
2010-02-04,125.190002,125.440002,122.900002,123.00,9126900,103.456514
2010-02-03,125.160004,126.07,125.07,125.660004,4177100,105.69387
2010-02-02,124.790001,125.809998,123.949997,125.529999,5899900,105.584521
2010-02-01,123.230003,124.949997,122.779999,124.669998,7242900,104.861166
2010-01-29,124.32,125.00,121.900002,122.389999,11571200,102.943437
2010-01-28,127.029999,127.040001,123.050003,123.75,9622200,104.087347
2010-01-27,125.82,126.959999,125.040001,126.330002,8719200,106.257412
2010-01-26,125.919998,127.75,125.410004,125.75,7135300,105.769566
2010-01-25,126.330002,126.889999,125.709999,126.120003,5738500,106.080779
2010-01-22,128.669998,128.889999,125.370003,125.50,10088600,105.559289
2010-01-21,130.470001,130.690002,128.059998,129.00,9608600,108.503173
2010-01-20,130.460007,131.149994,128.949997,130.25,15197500,109.554561
2010-01-19,131.630005,134.25,131.559998,134.139999,13916200,112.826478
2010-01-15,132.029999,132.889999,131.089996,131.779999,8494400,110.841458
2010-01-14,130.550003,132.710007,129.910004,132.309998,7111800,111.287245
2010-01-13,130.389999,131.119995,129.160004,130.229996,6455400,109.537735
2010-01-12,129.029999,131.330002,129.00,130.509995,8081500,109.773245
2010-01-11,131.059998,131.059998,128.669998,129.479996,5730400,108.906903
2010-01-08,129.070007,130.919998,129.050003,130.850006,4197200,110.059232
2010-01-07,129.869995,130.25,128.910004,129.550003,5840600,108.965786
2010-01-06,130.679993,131.490005,129.809998,130.00,5605300,109.344283
2010-01-05,131.679993,131.850006,130.100006,130.850006,6841400,110.059232
2010-01-04,131.179993,132.970001,130.850006,132.449997,6155300,111.405
